product_id,name,category,price
1,Laptop Pro 15,Electronics,1299.99
2,Wireless Headphones,Electronics,89.99
3,Smartphone X,Electronics,899.99
4,Blue Denim Jeans,Clothing,49.99
5,Cotton T-Shirt,Clothing,19.99
6,Leather Jacket,Clothing,199.99
7,Coffee Maker,Home & Kitchen,79.99
8,Stand Mixer,Home & Kitchen,249.99
9,Throw Pillows Set,Home & Kitchen,39.99
10,Fiction Novel,Books,14.99
11,Cookbook: Healthy Meals,Books,24.99
12,Desk Lamp,Home & Office,34.99
13,Backpack,Accessories,59.99
14,Smart Watch,Electronics,299.99
15,Stainless Steel Water Bottle,Accessories,29.99

